ID,Tipo,SKU,Nome,Publicado,"Em destaque?","Visibilidade no catálogo","Descrição curta",Descrição,"Data de preço promocional começa em","Data de preço promocional termina em","Status da taxa","Classe de taxa","Em estoque?",Estoque,"Quantidade baixa de estoque","São permitidas encomendas?","Vendido individualmente?","Peso (kg)","Comprimento (cm)","Largura (cm)","Altura (cm)","Permitir avaliações de clientes?","Nota da compra","Preço promocional",Preço,Categorias,Tags,"Classe de entrega",Imagens,"Limite de download","Dias para expirar o download","Produto ascendente","Grupo de produtos","Aumentar vendas","Venda cruzada","URL externa","Texto do botão",Posição,"Nome do atributo 1","Valores do atributo 1","Visibilidade do atributo 1","Atributo global 1","Nome do atributo 2","Valores do atributo 2","Visibilidade do atributo 2","Atributo global 2"
13,variable,CORDELO.CMF.BR.0001,"Camiseta Acinturada Bicicleta",1,0,visible,"Estampa: Impressão Digital\n\nAcabamento: Decote arredondado\n\nComposição:100% Algodão\n\n\n\nMEDIDAS (centímetros):\n\n\n\nP: altura: 62,5 | largura: 38,5 | ombro: 35,5\n\nM: altura: 65 | largura: 41 | ombro: 37\n\nG: altura: 67 | largura: 45,5 | ombro: 40\n\nGG: altura: 71 | largura: 48 | ombro: 39,5\n\n\n\n* Medidas aproximadas. Podem ocorrer pequenas variações.\n\n* Imagem meramente ilustrativa.","Estampa: Impressão Digital\n\nAcabamento: Decote arredondado\n\nComposição:100% Algodão\n\n\n\nMEDIDAS (centímetros):\n\n\n\nP: altura: 59 | largura: 45\n\nM: altura: 62 | largura: 47\n\nG: altura: 64 | largura: 51\n\nGG: altura: 67 | largura: 55\n\n\n\n* Medidas aproximadas. Podem ocorrer pequenas variações.\n\n* Imagem meramente ilustrativa.",,,taxable,,1,,,0,0,300,2,20,30,1,,,,"ROUPAS > CAMISETA RETA, ROUPAS","CAMISETA, CAMISETA ACINTURADA, CAMISETA BRANCA, PAULO FREIRE",,"http://techup.com.br/icone/wp-content/uploads/2021/09/t-shirt-mockup-featuring-some-makers-and-headphones-33682.png, http://techup.com.br/icone/wp-content/uploads/2021/09/mockup-of-a-girl-with-locks-wearing-a-t-shirt-while-looking-to-the-side-a17140.png, http://techup.com.br/icone/wp-content/uploads/2021/09/angled-view-mockup-of-a-women-s-tee-lying-in-a-bicolor-background-24247.png",,,,,,,,,0,Tamanho,"G, GG, M, P, XG",1,1,cor,"Branco, Cinza",1,1
22,variation,,"Camiseta Acinturada Bicicleta - G, Branco",1,0,visible,,,,,taxable,parent,1,50,,0,0,,,,,0,,,79.9,,,,,,,CORDELO.CMF.BR.0001,,,,,,7,Tamanho,G,,1,cor,Branco,,1
25,variation,,"Camiseta Acinturada Bicicleta - GG, Branco",1,0,visible,,,,,taxable,parent,1,50,,0,0,,,,,0,,,79.9,,,,,,,CORDELO.CMF.BR.0001,,,,,,8,Tamanho,GG,,1,cor,Branco,,1
28,variation,,"Camiseta Acinturada Bicicleta - M, Branco",1,0,visible,,,,,taxable,parent,1,50,,0,0,,,,,0,,,79.9,,,,,,,CORDELO.CMF.BR.0001,,,,,,9,Tamanho,M,,1,cor,Branco,,1
31,variation,,"Camiseta Acinturada Bicicleta - P, Branco",1,0,visible,,,,,taxable,parent,1,50,,0,0,,,,,0,,,79.9,,,,,,,CORDELO.CMF.BR.0001,,,,,,10,Tamanho,P,,1,cor,Branco,,1
40,variation,,"Camiseta Acinturada Bicicleta - P, Cinza",1,0,visible,,,,,taxable,parent,1,50,,0,0,,,,,0,,,79.9,,,,,,,CORDELO.CMF.BR.0001,,,,,,3,Tamanho,P,,1,cor,Cinza,,1
41,variation,,"Camiseta Acinturada Bicicleta - M, Cinza",1,0,visible,,,,,taxable,parent,1,50,,0,0,,,,,0,,,79.9,,,,,,,CORDELO.CMF.BR.0001,,,,,,4,Tamanho,M,,1,cor,Cinza,,1
42,variation,,"Camiseta Acinturada Bicicleta - G, Cinza",1,0,visible,,,,,taxable,parent,1,50,,0,0,,,,,0,,,79.9,,,,,,,CORDELO.CMF.BR.0001,,,,,,5,Tamanho,G,,1,cor,Cinza,,1
43,variation,,"Camiseta Acinturada Bicicleta - GG, Cinza",1,0,visible,,,,,taxable,parent,1,50,,0,0,,,,,0,,,79.9,,,,,,,CORDELO.CMF.BR.0001,,,,,,6,Tamanho,GG,,1,cor,Cinza,,1
44,variation,,"Camiseta Acinturada Bicicleta - XG, Branco",1,0,visible,,,,,taxable,parent,1,50,,0,0,,,,,0,,,79.9,,,,,,,CORDELO.CMF.BR.0001,,,,,,1,Tamanho,XG,,1,cor,Branco,,1
